,data,index,Brand,TOTAL DIGITAL AUDIENCE,PC,MOBILE,"TOTAL DIGITAL AUDIENCE 
(.000)","PC
(.000)","MOBILE
(.000)",TOTAL DIGITAL AUDIENCE (mm:ss),"PC 
(mm:ss)",MOBILE (mm:ss),TDA,TDA.2,PC.2,MOBILE.2,TDA.4,PC.4,MOBILE.4,COMPUTER,TABLET,SMARTPHONE,COMPUTER.2,TABLET.2,SMARTPHONE.2,COMPUTER.4,TABLET.4,SMARTPHONE.4
0,2015-1-01,360,Giallozafferano.it                                ,750823.0,313075.0,445008.0,2895.0,1085.0,1810.0,  04:22,  03:58,  04:35,,,,,,,,,,,,,,,,
1,2015-2-01,314,Giallozafferano.it                                ,,336294.0,495729.0,,,,,,,823766.0,3489.0,1270.0,2219.0,  04:20,  04:10,  04:24,,,,,,,,,
2,2015-3-01,327,Giallozafferano.it                                                                                  ,,298763.0,443448.0,,,,,,,736273.0,3007.0,1091.0,1916.0,  04:04,  03:52,  04:09,,,,,,,,,
3,2015-4-01,323,Giallozafferano.it                                                                                  ,,260836.0,407681.0,,,,,,,663810.0,2585.0,903.0,1682.0,  04:02,  03:44,  04:11,,,,,,,,,
4,2015-5-01,324,Giallozafferano.it                                                                                  ,,219422.0,342314.0,,,,,,,558158.0,2037.0,743.0,1294.0,  03:50,  03:32,  03:59,,,,,,,,,
5,2015-6-01,330,Giallozafferano.it                                                                                  ,,212823.0,314646.0,,,,,,,523362.0,1943.0,711.0,1232.0,  03:32,  03:22,  03:36,,,,,,,,,
6,2015-7-01,322,Giallozafferano.it                                                                                  ,,199947.0,291869.0,,,,,,,488415.0,1701.0,648.0,1053.0,  03:43,  03:28,  03:51,,,,,,,,,
7,2015-8-01,324,Giallozafferano.it                                                                                  ,,181893.0,342459.0,,,,,,,520900.0,2102.0,694.0,1408.0,  04:06,  03:46,  04:14,,,,,,,,,
8,2015-9-01,326,Giallozafferano.it                                                                                  ,,253330.0,404791.0,,,,,,,653422.0,2615.0,956.0,1659.0,  04:13,  03:36,  04:34,,,,,,,,,
9,2015-10-01,326,Giallozafferano.it                                                                                  ,,308621.0,453674.0,,,,,,,755161.0,3469.0,1295.0,2174.0,  04:32,  04:14,  04:40,,,,,,,,,
10,2015-11-01,324,Giallozafferano.it                                                                                  ,,303167.0,481184.0,,,,,,,777377.0,3482.0,1327.0,2156.0,  04:09,  03:45,  04:21,,,,,,,,,
