,data,index,Brand,TDA,PC,MOBILE,TDA.2,PC.2,MOBILE.2,TDA.4,PC.4,MOBILE.4
0,2015-2-01,314,Giallozafferano.it                                ,823766,336294,495729,3489,1270,2219,  04:20,  04:10,  04:24
1,2015-3-01,327,Giallozafferano.it                                                                                  ,736273,298763,443448,3007,1091,1916,  04:04,  03:52,  04:09
2,2015-4-01,323,Giallozafferano.it                                                                                  ,663810,260836,407681,2585,903,1682,  04:02,  03:44,  04:11
