,data,index,Brand,TDA,PC,MOBILE,TDA.2,PC.2,MOBILE.2,TDA.4,PC.4,MOBILE.4
0,2016-7-01,345,Giallozafferano.it                                                                                  ,483712,160758,326294,1754,601,1153,  03:36,  03:56,  03:24
1,2016-7-01,345,Giallozafferano.it                                                                                  ,483712,160758,326294,1754,601,1153,  03:36,  03:56,  03:24
